year,category,movie,winner,name,gender,order
1997,Best Original Song - Motion Picture,One Fine Day,FALSE,James Newton Howard,M,14
1997,Best Original Song - Motion Picture,Adam Schlesinger,FALSE,That Thing You Do!,M,15
1997,Best Original Song - Motion Picture,One Fine Day,FALSE,Jud Friedman,M,17
1997,Best Original Song - Motion Picture,One Fine Day,FALSE,Allan Rich,M,18
1997,Best Original Song - Motion Picture,The Mirror Has Two Faces,FALSE,Marvin Hamlisch,M,19
1997,Best Original Song - Motion Picture,The Mirror Has Two Faces,FALSE,Bryan Adams,M,20
1997,Best Original Song - Motion Picture,The Mirror Has Two Faces,FALSE,Robert John Lange,M,21
1997,Best Screenplay - Motion Picture,Fargo,FALSE,Ethan Coen,M,23
1997,Best Screenplay - Motion Picture,Lone Star,FALSE,John Sayles,M,24
1997,Best Screenplay - Motion Picture,Shine,FALSE,Jan Sardi,M,25
1997,Best Screenplay - Motion Picture,The English Patient,FALSE,Anthony Minghella,M,26
1997,Best Screenplay - Motion Picture,Fargo,FALSE,Joel Coen,M,28
1998,Best Original Song - Motion Picture,Tomorrow Never Dies,FALSE,Sheryl Crow,F,1
1998,Best Original Song - Motion Picture,"Anastasia  ""Journey To The Past""",FALSE,Lynn Ahrens,F,2
1998,Best Original Song - Motion Picture,"Anastasia ""Once Upon A December""",FALSE,Lynn Ahrens,F,3
1998,Best Screenplay - Motion Picture,Wag the Dog,FALSE,Hilary Henkin,F,4
1998,Best Director - Motion Picture,Titanic,TRUE,James Cameron,M,5
1998,Best Original Score - Motion Picture,Titanic,TRUE,James Horner,M,10
1998,Best Original Song - Motion Picture,Titanic,TRUE,James Horner,M,15
1998,Best Original Song - Motion Picture,Titanic,TRUE,Will Jennings,M,19
1998,Best Screenplay - Motion Picture,Good Will Hunting,TRUE,Matt Damon,M,22
1998,Best Screenplay - Motion Picture,Good Will Hunting,TRUE,Ben Affleck,M,26
1998,Best Director - Motion Picture,L.A. Confidential,FALSE,Curtis Hanson,M,6
1998,Best Director - Motion Picture,As Good as It Gets,FALSE,James L. Brooks,M,7
1998,Best Director - Motion Picture,Jim Sheridan,FALSE,The Boxer,M,8
1998,Best Director - Motion Picture,Amistad,FALSE,Steven Spielberg,M,9
1998,Best Original Score - Motion Picture,Gattaca,FALSE,Michael Nyman,M,11
1998,Best Original Score - Motion Picture,Kundun,FALSE,Philip Glass,M,12
1998,Best Original Score - Motion Picture,L.A. Confidential,FALSE,Jerry Goldsmith,M,13
1998,Best Original Score - Motion Picture,Seven Years in Tibet,FALSE,John Williams,M,14
1998,Best Original Song - Motion Picture,"Anastasia ""Journey To The Past""",FALSE,Stephen Flaherty,M,16
1998,Best Original Song - Motion Picture,"Anastasia ""Once Upon A December""",FALSE,Stephen Flaherty,M,17
1998,Best Original Song - Motion Picture,Hercules,FALSE,Alan Menken,M,18
1998,Best Original Song - Motion Picture,Hercules,FALSE,David Zippel,M,20
1998,Best Original Song - Motion Picture,Tomorrow Never Dies,FALSE,Mitchell Froom,M,21
1998,Best Screenplay - Motion Picture,As Good as It Gets,FALSE,Mark Andrus,M,23
1998,Best Screenplay - Motion Picture,L.A. Confidential,FALSE,Brian Helgeland,M,24
1998,Best Screenplay - Motion Picture,Titanic,FALSE,James Cameron,M,25
1998,Best Screenplay - Motion Picture,As Good as It Gets,FALSE,James L. Brooks,M,27
1998,Best Screenplay - Motion Picture,L.A. Confidential,FALSE,Curtis Hanson,M,28
1998,Best Screenplay - Motion Picture,Wag the Dog,FALSE,David Mamet,M,29
